Reference, Value, Footprint, Datasheet
U1,IC_MCP73831,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
D2,LED,Capacitors_SMD:C_0603,
LIPOLY1,BATTERY,Socket_Strips:molex_2_pos,
R2,10kΩ,Resistors_SMD:R_0603,
R1,47Ω,Resistors_SMD:R_0603,
Q1,MOSFET_P,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
D1,DIODESCH,Diodes_SMD:SOD-123,
R3,R100kΩ,Resistors_SMD:R_0603,
U2,MAX1722,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
L1,10uH,Resistors_SMD:R_1210,
U3,DS3231,SMD_Packages:SOIC-8-N,
R5,4.7k,Resistors_SMD:R_0603,
R6,4.7k,Resistors_SMD:R_0603,
U4,LSM9DS0,watch-v4:QFN-24-NO-CENTER4x4mm_Pitch0.5mm,
C5,.22uf,Capacitors_SMD:C_0603,
C6,4.7uf,Capacitors_SMD:C_0603,
C7,10uf,Capacitors_SMD:C_0603,
C8,0.1uf,Capacitors_SMD:C_0603,
J1,CONN_10,watch-v4:omron_XF2M-1015-1A-2,
U5,NRF51822,Housings_DFN_QFN:UQFN-48-1EP_6x6mm_Pitch0.4mm,
C10,12pf,Capacitors_SMD:C_0603,
12pf1,C9,Capacitors_SMD:C_0603,
X1,16mhz,watch-v4:SMD-Crystal,
ANT1,-,watch-v4:antenna,
U6,BALUN,watch-v4:BALUN-6,
XL1,USB_MICRO_B,watch-v4:USB_Micro-B,
C13,0.1uf,Capacitors_SMD:C_0603,
C14,1nf,Capacitors_SMD:C_0603,
C2,4.7uf,Capacitors_SMD:C_0603,
C1,1uf,Capacitors_SMD:C_0603,
C3,4.7uf,Capacitors_SMD:C_0603,
P1,Expansion Header,crennelated:SIP-12,
C11,2n2,Capacitors_SMD:C_0603,
C9,47n,Capacitors_SMD:C_0603,
C4,100n,Capacitors_SMD:C_0603,
R7,10M,Resistors_SMD:R_0603,
R8,10M,Resistors_SMD:R_0603,
C12,1u,Capacitors_SMD:C_0603,
R4,10k,Resistors_SMD:R_0603,
